"SHORTNAME";"global_id";"FULLNAME";"CODE";"ALFA2";"ALFA3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"Краткое наименование страны";"global_id";"Полное официальное наименование страны";"Цифровой код страны";"Буквенный код альфа-2";"Буквенный код альфа-3";"SHORTNAME_en";"FULLNAME_en";"CODE_en";"ALFA2_en";"ALFA3_en";
"ДЖИБУТИ";"273330242";"Республика Джибути";"262";"DJ";"DJI";"";"";"";"";"";
"ГРУЗИЯ";"273330243";"";"268";"GE";"GEO";"";"";"";"";"";
"ГАМБИЯ";"273330244";"Исламская Республика Гамбия";"270";"GM";"GMB";"";"";"";"";"";
"ГЕРМАНИЯ";"273330245";"Федеративная Республика Германия";"276";"DE";"DEU";"";"";"";"";"";
"ГАНА";"273330246";"Республика Гана";"288";"GH";"GHA";"";"";"";"";"";
"ГИБРАЛТАР";"273330247";"";"292";"GI";"GIB";"";"";"";"";"";
"КИРИБАТИ";"273330248";"Республика Кирибати";"296";"KI";"KIR";"";"";"";"";"";
"ГРЕЦИЯ";"273330249";"Греческая Республика";"300";"GR";"GRC";"";"";"";"";"";
"ГРЕНЛАНДИЯ";"273330250";"";"304";"GL";"GRL";"";"";"";"";"";
"ГРЕНАДА";"273330251";"";"308";"GD";"GRD";"";"";"";"";"";
"ГУАМ";"273330252";"";"316";"GU";"GUM";"";"";"";"";"";
"ГВАТЕМАЛА";"273330253";"Республика Гватемала";"320";"GT";"GTM";"";"";"";"";"";
"ГВИНЕЯ";"273330254";"Гвинейская Республика";"324";"GN";"GIN";"";"";"";"";"";
"ГАЙАНА";"273330255";"Кооперативная Республика Гайана";"328";"GY";"GUY";"";"";"";"";"";
"ГАИТИ";"273330256";"Республика Гаити";"332";"HT";"HTI";"";"";"";"";"";
"ОСТРОВ ХЕРД И ОСТРОВА МАКДОНАЛЬД";"273330257";"";"334";"HM";"HMD";"";"";"";"";"";
"ПАПСКИЙ ПРЕСТОЛ (ГОСУДАРСТВО-ГОРОД ВАТИКАН)";"273330258";"";"336";"VA";"VAT";"";"";"";"";"";
"ГОНКОНГ";"273330259";"Специальный административный район Гонконг Китайской Народной Республики";"344";"HK";"HKG";"";"";"";"";"";
"ВЕНГРИЯ";"273330260";"Венгрия";"348";"HU";"HUN";"";"";"";"";"";
"ИСЛАНДИЯ";"273330261";"Республика Исландия";"352";"IS";"ISL";"";"";"";"";"";
"ИНДИЯ";"273330262";"Республика Индия";"356";"IN";"IND";"";"";"";"";"";
"ИНДОНЕЗИЯ";"273330263";"Республика Индонезия";"360";"ID";"IDN";"";"";"";"";"";
"ИРАК";"273330264";"Республика Ирак";"368";"IQ";"IRQ";"";"";"";"";"";
"ИЗРАИЛЬ";"273330265";"Государство Израиль";"376";"IL";"ISR";"";"";"";"";"";
"ИТАЛИЯ";"273330266";"Итальянская Республика";"380";"IT";"ITA";"";"";"";"";"";
"КОТ Д`ИВУАР";"273330267";"Республика Кот д`Ивуар";"384";"CI";"CIV";"";"";"";"";"";
"ЯМАЙКА";"273330268";"";"388";"JM";"JAM";"";"";"";"";"";
"КАЗАХСТАН";"273330269";"Республика Казахстан";"398";"KZ";"KAZ";"";"";"";"";"";
"ИОРДАНИЯ";"273330270";"Иорданское Хашимитское Королевство";"400";"JO";"JOR";"";"";"";"";"";
"КОРЕЯ, НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА";"273330271";"Корейская Народно-Демократическая Республика";"408";"KP";"PRK";"";"";"";"";"";
"КОРЕЯ, РЕСПУБЛИКА";"273330272";"Республика Корея";"410";"KR";"KOR";"";"";"";"";"";
"КУВЕЙТ";"273330273";"Государство Кувейт";"414";"KW";"KWT";"";"";"";"";"";
"ЛАОССКАЯ НАРОДНО-ДЕМОКРАТИЧЕСКАЯ РЕСПУБЛИКА";"273330274";"";"418";"LA";"LAO";"";"";"";"";"";
"ЛИВАН";"273330275";"Ливанская Республика";"422";"LB";"LBN";"";"";"";"";"";
"ЛЕСОТО";"273330276";"Королевство Лесото";"426";"LS";"LSO";"";"";"";"";"";
"ЛАТВИЯ";"273330277";"Латвийская Республика";"428";"LV";"LVA";"";"";"";"";"";
"ЛИБЕРИЯ";"273330278";"Республика Либерия";"430";"LR";"LBR";"";"";"";"";"";
"ЛИВИЯ";"273330279";"Государство Ливия";"434";"LY";"LBY";"";"";"";"";"";
"ЛИХТЕНШТЕЙН";"273330280";"Княжество Лихтенштейн";"438";"LI";"LIE";"";"";"";"";"";
"ЛИТВА";"273330281";"Литовская Республика";"440";"LT";"LTU";"";"";"";"";"";
"ЛЮКСЕМБУРГ";"273330282";"Великое Герцогство Люксембург";"442";"LU";"LUX";"";"";"";"";"";
"МАКАО";"273330283";"Специальный административный район Макао Китайской Народной Республики";"446";"MO";"MAC";"";"";"";"";"";
"МАДАГАСКАР";"273330284";"Республика Мадагаскар";"450";"MG";"MDG";"";"";"";"";"";
"МАЛАВИ";"273330285";"Республика Малави";"454";"MW";"MWI";"";"";"";"";"";
"МАЛАЙЗИЯ";"273330286";"";"458";"MY";"MYS";"";"";"";"";"";
"МАЛЬДИВЫ";"273330287";"Мальдивская Республика";"462";"MV";"MDV";"";"";"";"";"";
"МАЛИ";"273330288";"Республика Мали";"466";"ML";"MLI";"";"";"";"";"";
"МАРТИНИКА";"273330289";"";"474";"MQ";"MTQ";"";"";"";"";"";
"МАВРИТАНИЯ";"273330290";"Исламская Республика Мавритания";"478";"MR";"MRT";"";"";"";"";"";
"МАВРИКИЙ";"273330291";"Республика Маврикий";"480";"MU";"MUS";"";"";"";"";"";
"МЕКСИКА";"273330292";"Мексиканские Соединенные Штаты";"484";"MX";"MEX";"";"";"";"";"";
"МОНАКО";"273330293";"Княжество Монако";"492";"MC";"MCO";"";"";"";"";"";
"МОНГОЛИЯ";"273330294";"";"496";"MN";"MNG";"";"";"";"";"";
"МОЛДОВА, РЕСПУБЛИКА";"273330295";"Республика Молдова";"498";"MD";"MDA";"";"";"";"";"";
"ЧЕРНОГОРИЯ";"273330296";"";"499";"ME";"MNE";"";"";"";"";"";
"МОНТСЕРРАТ";"273330297";"";"500";"MS";"MSR";"";"";"";"";"";
"МАРОККО";"273330298";"Королевство Марокко";"504";"MA";"MAR";"";"";"";"";"";
"ОМАН";"273330299";"Султанат Оман";"512";"OM";"OMN";"";"";"";"";"";
"НАМИБИЯ";"273330300";"Республика Намибия";"516";"NA";"NAM";"";"";"";"";"";
"НАУРУ";"273330301";"Республика Науру";"520";"NR";"NRU";"";"";"";"";"";
"НЕПАЛ";"273330302";"Непал";"524";"NP";"NPL";"";"";"";"";"";
"НИДЕРЛАНДЫ";"273330303";"Королевство Нидерландов";"528";"NL";"NLD";"";"";"";"";"";
"КЮРАСАО";"273330304";"";"531";"CW";"CUW";"";"";"";"";"";
"СЕН-МАРТЕН (нидерландская часть)";"273330305";"";"534";"SX";"SXM";"";"";"";"";"";
"БОНЭЙР, СИНТ-ЭСТАТИУС И САБА";"273330306";"";"535";"BQ";"BES";"";"";"";"";"";
"ВАНУАТУ";"273330307";"Республика Вануату";"548";"VU";"VUT";"";"";"";"";"";
"НОВАЯ ЗЕЛАНДИЯ";"273330308";"";"554";"NZ";"NZL";"";"";"";"";"";
"НИКАРАГУА";"273330309";"Республика Никарагуа";"558";"NI";"NIC";"";"";"";"";"";
"НИГЕР";"273330310";"Республика Нигер";"562";"NE";"NER";"";"";"";"";"";
"НИГЕРИЯ";"273330311";"Федеративная Республика Нигерия";"566";"NG";"NGA";"";"";"";"";"";
"НИУЭ";"273330312";"Ниуэ";"570";"NU";"NIU";"";"";"";"";"";
"ОСТРОВ НОРФОЛК";"273330313";"";"574";"NF";"NFK";"";"";"";"";"";
"НОРВЕГИЯ";"273330314";"Королевство Норвегия";"578";"NO";"NOR";"";"";"";"";"";
"СЕВЕРНЫЕ МАРИАНСКИЕ ОСТРОВА";"273330315";"Содружество Северных Марианских островов";"580";"MP";"MNP";"";"";"";"";"";
"МАЛЫЕ ТИХООКЕАНСКИЕ ОТДАЛЕННЫЕ ОСТРОВА СОЕДИНЕННЫХ ШТАТОВ";"273330316";"";"581";"UM";"UMI";"";"";"";"";"";
"МИКРОНЕЗИЯ, ФЕДЕРАТИВНЫЕ ШТАТЫ";"273330317";"Федеративные Штаты Микронезии";"583";"FM";"FSM";"";"";"";"";"";
"МАРШАЛЛОВЫ ОСТРОВА";"273330318";"Республика Маршалловы Острова";"584";"MH";"MHL";"";"";"";"";"";
"ПАЛАУ";"273330319";"Республика Палау";"585";"PW";"PLW";"";"";"";"";"";
"ПАКИСТАН";"273330320";"Исламская Республика Пакистан";"586";"PK";"PAK";"";"";"";"";"";
"ПАНАМА";"273330321";"Республика Панама";"591";"PA";"PAN";"";"";"";"";"";
"ПАПУА НОВАЯ ГВИНЕЯ";"273330322";"Независимое Государство Папуа Новая Гвинея";"598";"PG";"PNG";"";"";"";"";"";
"ПАРАГВАЙ";"273330323";"Республика Парагвай";"600";"PY";"PRY";"";"";"";"";"";
"ПЕРУ";"273330324";"Республика Перу";"604";"PE";"PER";"";"";"";"";"";
"ФИЛИППИНЫ";"273330325";"Республика Филиппины";"608";"PH";"PHL";"";"";"";"";"";
"ПИТКЕРН";"273330326";"";"612";"PN";"PCN";"";"";"";"";"";
"ПОЛЬША";"273330327";"Республика Польша";"616";"PL";"POL";"";"";"";"";"";
"ПОРТУГАЛИЯ";"273330328";"Португальская Республика";"620";"PT";"PRT";"";"";"";"";"";
"ГВИНЕЯ-БИСАУ";"273330329";"Республика Гвинея-Бисау";"624";"GW";"GNB";"";"";"";"";"";
"ТИМОР-ЛЕСТЕ";"273330330";"Демократическая Республика Тимор-Лесте";"626";"TL";"TLS";"";"";"";"";"";
"ПУЭРТО-РИКО";"273330331";"";"630";"PR";"PRI";"";"";"";"";"";
"КАТАР";"273330332";"Государство Катар";"634";"QA";"QAT";"";"";"";"";"";
"РЕЮНЬОН";"273330333";"";"638";"RE";"REU";"";"";"";"";"";
"РУМЫНИЯ";"273330334";"";"642";"RO";"ROU";"";"";"";"";"";
"РОССИЯ";"273330335";"Российская Федерация";"643";"RU";"RUS";"";"";"";"";"";
"РУАНДА";"273330336";"Руандийская Республика";"646";"RW";"RWA";"";"";"";"";"";
"СЕН-БАРТЕЛЕМИ";"273330337";"";"652";"BL";"BLM";"";"";"";"";"";
"СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ";"273330338";"";"654";"SH";"SHN";"";"";"";"";"";
"СЕНТ-КИТС И НЕВИС";"273330339";"";"659";"KN";"KNA";"";"";"";"";"";
"АНГИЛЬЯ";"273330340";"";"660";"AI";"AIA";"";"";"";"";"";
"СЕНТ-ЛЮСИЯ";"273330341";"";"662";"LC";"LCA";"";"";"";"";"";
"СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ)";"273330342";"";"663";"MF";"MAF";"";"";"";"";"";
"СЕНТ-ПЬЕР И МИКЕЛОН";"273330343";"";"666";"PM";"SPM";"";"";"";"";"";
"СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ";"273330344";"";"670";"VC";"VCT";"";"";"";"";"";
"САН-МАРИНО";"273330345";"Республика Сан-Марино";"674";"SM";"SMR";"";"";"";"";"";
"САН-ТОМЕ И ПРИНСИПИ";"273330346";"Демократическая Республика Сан-Томе и Принсипи";"678";"ST";"STP";"";"";"";"";"";
"САУДОВСКАЯ АРАВИЯ";"273330347";"Королевство Саудовская Аравия";"682";"SA";"SAU";"";"";"";"";"";
